"predict","F","T"
"F",0.999813084602356,1.8691539764403853E-4
"F",0.9966207301616669,0.003379269838333143
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.999928570985794,7.142901420598147E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9966207301616669,0.003379269838333143
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998533725738525,1.4662742614746094E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9966207301616669,0.003379269838333143
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999638986587525,3.610134124754083E-5
"F",0.9996850395202637,3.14960479736337E-4
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9970527446269989,0.002947255373001112
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998305082321167,1.6949176788327858E-4
"F",0.999880598783493,1.1940121650699798E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9987766981124878,0.0012233018875121848
"F",1.0,0.0
"F",0.9994344687461854,5.65531253814644E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9972826087474823,0.002717391252517687
"F",0.9988951408863067,0.0011048591136932906
"F",1.0,0.0
"F",0.9995581018924713,4.418981075287043E-4
"F",0.9995383596420289,4.616403579711381E-4
"F",0.9991726422309876,8.273577690124378E-4
"F",0.998129163980484,0.0018708360195159868
"F",0.9996744179725647,3.255820274352672E-4
"F",1.0,0.0
"F",0.9991726422309876,8.273577690124378E-4
"F",0.9998333334922791,1.6666650772090286E-4
"F",1.0,0.0
"F",0.9996850395202637,3.14960479736337E-4
"F",0.9978924441337585,0.0021075558662414506
"F",1.0,0.0
"F",0.9702564108371735,0.02974358916282649
"F",1.0,0.0
"F",0.9936750698089599,0.006324930191040079
"F",1.0,0.0
"F",0.9977235770225525,0.0022764229774474565
"F",0.9962704706192017,0.003729529380798291
"F",1.0,0.0
"F",0.9927817034721375,0.007218296527862544
"F",1.0,0.0
"F",1.0,0.0
"F",0.9918908226490021,0.00810917735099792
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",0.9961092185974121,0.0038907814025879173
"F",1.0,0.0
"F",0.9985714280605316,0.001428571939468437
"F",0.9993457853794098,6.542146205902322E-4
"F",0.9983783781528472,0.0016216218471527544
"F",1.0,0.0
"F",1.0,0.0
"F",0.9696581196784974,0.030341880321502646
"F",0.9676127350330352,0.03238726496696476
"F",0.9990021979808807,9.978020191192538E-4
"F",1.0,0.0
"F",0.993711599111557,0.006288400888442958
"F",1.0,0.0
"F",1.0,0.0
"F",0.9264696967601777,0.07353030323982235
"F",0.9982454943656921,0.0017545056343079013
"F",0.9917575180530548,0.008242481946945213
"F",1.0,0.0
"F",0.9918333339691162,0.008166666030883785
"F",0.9989830505847931,0.0010169494152069136
"F",1.0,0.0
"F",0.9430357146263123,0.056964285373687695
"F",1.0,0.0
"F",1.0,0.0
"F",0.9993267035484314,6.732964515685502E-4
"F",0.9796407985687255,0.020359201431274454
"F",0.9995187163352967,4.8128366470334694E-4
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",0.9829625213146209,0.01703747868537908
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9993586993217468,6.413006782531872E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",0.999828326702118,1.7167329788203567E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9989189183712006,0.0010810816287993852
"F",0.9997624027729034,2.3759722709659759E-4
"F",0.9930982911586761,0.006901708841323906
"F",0.9889261031150818,0.011073896884918222
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.961971428990364,0.03802857100963597
"F",0.9935779452323914,0.006422054767608598
"F",0.9998940551280975,1.0594487190251911E-4
"F",0.9911698389053345,0.0088301610946655
"F",0.9994256734848023,5.743265151977317E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9947655808925628,0.0052344191074371604
"F",0.9955219674110413,0.004478032588958736
"F",0.9994256734848023,5.743265151977317E-4
"F",1.0,0.0
"F",0.9963473784923553,0.003652621507644671
"F",0.9775303030014038,0.022469696998596245
"F",0.9996850395202637,3.14960479736337E-4
"F",0.9993587613105774,6.41238689422563E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.999880598783493,1.1940121650699798E-4
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",0.9977235770225525,0.0022764229774474565
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.92,0.07999999999999996
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998581564426422,1.418435573578014E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",0.999959431886673,4.056811332697752E-5
"F",0.9959322035312652,0.004067796468734786
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.988105663061142,0.011894336938857997
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.8990739589929581,0.10092604100704194
"F",0.9997068405151367,2.9315948486330345E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9963717126846313,0.0036282873153686834
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9980487799644471,0.0019512200355529252
"F",1.0,0.0
"F",1.0,0.0
"F",0.9997624027729034,2.3759722709659759E-4
"F",0.8990739589929581,0.10092604100704194
"F",0.9997920644283295,2.0793557167053667E-4
"F",0.9982971727848053,0.0017028272151946577
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9997920644283295,2.0793557167053667E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9966260981559754,0.0033739018440246404
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.999928570985794,7.142901420598147E-5
"F",0.999928570985794,7.142901420598147E-5
"F",1.0,0.0
"F",0.9953846156597137,0.004615384340286299
"T",0.0,1.0
"T",0.02039215687662363,0.9796078431233763
"F",0.9999953949451447,4.605054855333357E-6
"T",0.043253431133925914,0.9567465688660741
"F",0.9967015862464905,0.003298413753509477
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.043253431133925914,0.9567465688660741
"F",1.0,0.0
"F",1.0,0.0
"F",0.999880598783493,1.1940121650699798E-4
"F",0.9976865100860596,0.0023134899139404252
"T",0.02,0.98
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",0.9966291069984436,0.003370893001556352
"F",1.0,0.0
"F",0.999928570985794,7.142901420598147E-5
"F",1.0,0.0
"F",0.9990909087657929,9.090912342071267E-4
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.043253431133925914,0.9567465688660741
"F",1.0,0.0
"T",0.043253431133925914,0.9567465688660741
"F",1.0,0.0
"F",0.999928570985794,7.142901420598147E-5
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.4871536999940872,0.5128463000059128
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999576270580292,4.23729419708474E-5
"F",0.999911242723465,8.875727653501198E-5
"T",0.023543865829706193,0.9764561341702938
"F",1.0,0.0
"F",0.96,0.040000000000000036
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.5900000002980232,0.40999999970197676
"F",0.9993103444576263,6.896555423736572E-4
"F",1.0,0.0
"F",0.9933333337306977,0.006666666269302346
"T",0.0,1.0
"F",0.999928570985794,7.142901420598147E-5
"F",0.5900000002980232,0.40999999970197676
"F",1.0,0.0
"F",0.988105663061142,0.011894336938857997
"F",0.9999953949451447,4.605054855333357E-6
"T",0.1573333337903023,0.8426666662096978
"F",0.5900000002980232,0.40999999970197676
"F",0.9949532175064086,0.005046782493591362
"F",1.0,0.0
"F",0.5900000002980232,0.40999999970197676
"T",0.2664320722222328,0.7335679277777671
"F",1.0,0.0
"F",0.9985714280605316,0.001428571939468437
"F",0.9947058820724487,0.005294117927551301
"F",0.9999576270580292,4.23729419708474E-5
"T",0.3498814125359058,0.6501185874640942
"T",0.023543865829706193,0.9764561341702938
"F",0.9021470594406128,0.0978529405593872
"F",0.9333333325386047,0.06666666746139527
"F",1.0,0.0
"T",0.39650814682245256,0.6034918531775475
"T",0.0,1.0
"T",0.21874603614211083,0.7812539638578891
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998449611663819,1.550388336181152E-4
"F",0.888571428656578,0.11142857134342199
"T",0.0,1.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"T",0.005086391270160675,0.9949136087298394
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9784898099303245,0.021510190069675472
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9248596906661988,0.07514030933380123
"F",0.9325607228279114,0.06743927717208864
"F",0.9997826087474823,2.1739125251774016E-4
"F",0.9996744179725647,3.255820274352672E-4
"F",0.9993587613105774,6.41238689422563E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.979828326702118,0.020171673297882053
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9996850395202637,3.14960479736337E-4
"F",1.0,0.0
"F",0.9831373310089111,0.016862668991088903
"F",0.999640052318573,3.599476814269975E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9997872340679169,2.1276593208308103E-4
"F",0.999959431886673,4.056811332697752E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9983606553077697,0.0016393446922302601
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9980469298362732,0.001953070163726811
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9955555558204651,0.004444444179534934
"F",1.0,0.0
"F",0.9983333337306977,0.0016666662693023415
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.5561044281721115,0.4438955718278885
"T",0.35,0.65
"F",0.9999953949451447,4.605054855333357E-6
"F",0.78,0.21999999999999997
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.5561044281721115,0.4438955718278885
"F",0.9999953949451447,4.605054855333357E-6
"F",0.96,0.040000000000000036
"T",0.35,0.65
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",0.68,0.31999999999999995
"F",0.9997544181346893,2.455818653106512E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"T",0.2401422765851021,0.7598577234148979
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999407505989075,5.9249401092476006E-5
"F",0.998173885345459,0.0018261146545409668
"F",0.997780134677887,0.002219865322113046
"F",0.9947544956207275,0.005245504379272514
"F",0.9993814432621002,6.185567378997892E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9978620791435242,0.0021379208564757946
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9991080141067505,8.919858932494584E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9899415826797485,0.010058417320251478
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",0.999813084602356,1.8691539764403853E-4
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.939985785484314,0.060014214515686004
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.999540958404541,4.590415954589533E-4
"F",0.999880598783493,1.1940121650699798E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9991535449028015,8.464550971984952E-4
"F",0.9837241387367248,0.016275861263275182
"F",0.9837241387367248,0.016275861263275182
"F",0.999710773229599,2.8922677040099654E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999019610881805,9.803891181947577E-5
"F",1.0,0.0
"F",0.9866483104228974,0.013351689577102643
"F",0.999880598783493,1.1940121650699798E-4
"F",0.9996698808670044,3.301191329956321E-4
"F",1.0,0.0
"F",0.999880598783493,1.1940121650699798E-4
"F",0.9999304342269898,6.956577301020506E-5
"F",0.9978154969215393,0.002184503078460742
"F",1.0,0.0
"F",0.9986682116985321,0.001331788301467851
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9996850395202637,3.14960479736337E-4
"F",0.9829766911268234,0.0170233088731766
"F",0.9989142549037934,0.001085745096206625
"F",1.0,0.0
"F",0.9998533725738525,1.4662742614746094E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9591933572292328,0.040806642770767176
"F",0.9989951455593109,0.0010048544406890958
"F",0.9591933572292328,0.040806642770767176
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9997544181346893,2.455818653106512E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",0.9827667021751404,0.017233297824859606
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",0.9927355229854584,0.007264477014541582
"F",0.9965719056129455,0.003428094387054492
"F",0.9999019610881805,9.803891181947577E-5
"F",0.9927355229854584,0.007264477014541582
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",0.6839911861717701,0.3160088138282299
"F",1.0,0.0
"F",1.0,0.0
"F",0.9126923078298569,0.08730769217014311
"T",0.0,1.0
"F",0.88,0.12
"F",0.9927355229854584,0.007264477014541582
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",0.9997452235221863,2.547764778136896E-4
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",0.9827667021751404,0.017233297824859606
"T",0.02,0.98
"T",0.02,0.98
"F",0.9597402596473694,0.04025974035263058
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",0.9999019610881805,9.803891181947577E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.0,1.0
"F",1.0,0.0
"F",0.9991032099723816,8.967900276184437E-4
"T",0.0,1.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9927355229854584,0.007264477014541582
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",0.9996296298503876,3.703701496123868E-4
"T",0.0,1.0
"F",1.0,0.0
"F",0.9999019610881805,9.803891181947577E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9987166690826416,0.0012833309173584384
"F",0.999307610988617,6.923890113830211E-4
"F",1.0,0.0
"F",0.9867502999305725,0.013249700069427495
"F",1.0,0.0
"F",1.0,0.0
"F",0.9911475074291229,0.008852492570877057
"F",1.0,0.0
"T",0.0945769750326872,0.9054230249673128
"F",0.9995000004768372,4.999995231628196E-4
"F",1.0,0.0
"F",0.9988571429252624,0.0011428570747376021
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9595121955871582,0.04048780441284183
"T",0.0945769750326872,0.9054230249673128
"F",0.6864830662775785,0.3135169337224215
"F",1.0,0.0
"F",1.0,0.0
"F",0.999928570985794,7.142901420598147E-5
"F",0.9998738169670105,1.2618303298950195E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",0.9941176474094391,0.005882352590560913
"F",1.0,0.0
"F",0.996871212720871,0.0031287872791290194
"F",1.0,0.0
"F",1.0,0.0
"F",0.9989347326755523,0.0010652673244476718
"F",1.0,0.0
"F",0.9324896609783173,0.06751033902168269
"F",1.0,0.0
"F",0.9977777779102326,0.0022222220897674116
"F",1.0,0.0
"T",0.0945769750326872,0.9054230249673128
"F",1.0,0.0
"F",0.9997273886203766,2.7261137962342197E-4
"F",1.0,0.0
"F",0.9956062471866608,0.004393752813339202
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9871317827701569,0.012868217229843104
"F",0.9981111109256744,0.001888889074325606
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998940551280975,1.0594487190251911E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9913875961303711,0.008612403869628915
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9997958207130432,2.041792869568182E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999693560600281,3.064393997187498E-5
"F",0.9997530865669251,2.469134330749245E-4
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",1.0,0.0
"F",0.99926487326622,7.351267337799561E-4
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.999959431886673,4.056811332697752E-5
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9988063728809357,0.0011936271190643444
"F",1.0,0.0
"F",1.0,0.0
"F",0.9963077700138092,0.003692229986190787
"F",0.9981300365924836,0.0018699634075164395
"F",0.9999857854843139,1.4214515686061802E-5
"F",0.9983820259571076,0.0016179740428924339
"F",1.0,0.0
"F",0.9998581564426422,1.418435573578014E-4
"F",0.9995744681358337,4.255318641662731E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",1.0,0.0
"F",0.6988409233093261,0.3011590766906739
"F",0.9980418741703033,0.0019581258296966775
"F",0.99,0.010000000000000009
"F",1.0,0.0
"F",1.0,0.0
"T",0.37484752967953683,0.6251524703204632
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999576270580292,4.23729419708474E-5
"F",0.9186310750246048,0.08136892497539516
"F",1.0,0.0
"F",1.0,0.0
"F",0.9956044661998749,0.00439553380012514
"F",0.6988409233093261,0.3011590766906739
"F",1.0,0.0
"F",0.9972222220897674,0.002777777910232593
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9929112672805787,0.007088732719421342
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",0.9999576270580292,4.23729419708474E-5
"F",0.9997959184646606,2.0408153533935103E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.988105663061142,0.011894336938857997
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9862581181526184,0.013741881847381565
"F",0.9988571429252624,0.0011428570747376021
"F",0.99926487326622,7.351267337799561E-4
"F",0.96,0.040000000000000036
"F",1.0,0.0
"F",0.9995187163352967,4.8128366470334694E-4
"F",1.0,0.0
"F",0.689823972582817,0.310176027417183
"F",0.9484210526943206,0.05157894730567936
"F",0.9948521757125854,0.00514782428741456
"F",1.0,0.0
"F",1.0,0.0
"F",0.9967129635810852,0.0032870364189148127
"F",1.0,0.0
"F",0.9743323504924775,0.02566764950752254
"F",1.0,0.0
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",1.0,0.0
"F",0.93,0.06999999999999995
"F",0.9603625202178955,0.03963747978210452
"F",1.0,0.0
"F",1.0,0.0
"F",0.94897500872612,0.05102499127388005
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",0.99926487326622,7.351267337799561E-4
"F",1.0,0.0
"F",0.9998533725738525,1.4662742614746094E-4
"F",0.9997797644138336,2.2023558616635075E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9760000002384186,0.023999999761581403
"F",0.9987314677238465,0.0012685322761535334
"F",0.9722623610496521,0.027737638950347865
"F",0.9996226418018341,3.773581981658669E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9962952172756195,0.003704782724380462
"F",1.0,0.0
