__device_id	__os_name	__os_version	__browser_name	__browser_version	__device_name	__category	__anonymous_1	__anonymous_2	__anonymous_3	__anonymous_4	__anonymous_5	__anonymous_6	__anonymous_7	__anonymous_8	__anonymous_9	__anonymous_10	__anonymous_11	__anonymous_12	__anonymous_13	__anonymous_14	__anonymous_15	__anonymous_16	__anonymous_17	__anonymous_18	__anonymous_19	__anonymous_20	__anonymous_21	__anonymous_22	__anonymous_23	__anonymous_24	__anonymous_25	__anonymous_26	__anonymous_27	__anonymous_28	__anonymous_29	__anonymous_30	__anonymous_31	__anonymous_32	__anonymous_33	__anonymous_34	__anonymous_35	__anonymous_36	__anonymous_37	__anonymous_38	__anonymous_39	__anonymous_40	__anonymous_41	__anonymous_42	__anonymous_43	__anonymous_44	__anonymous_45	__anonymous_46	__anonymous_47	__anonymous_48	__anonymous_49	__anonymous_50	__anonymous_51	__anonymous_52	__anonymous_53	__anonymous_54	__anonymous_55	__anonymous_56	__anonymous_57	__anonymous_58	__anonymous_59	__anonymous_60	__anonymous_61	__anonymous_62	__anonymous_63	__anonymous_64	__anonymous_65	__anonymous_66	__anonymous_67	__anonymous_68	__anonymous_69	__anonymous_70	__ip	__isp	__country	__region	__time_zone	__connection_type	__timestamp	__url	__user_id

dev_102308	Windows 7	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_105468	isp_100011	country_102	region_1079	time_zone_102	conn_type_10	1440962183168	url_1029687	user_101752

dev_102021	Windows 7	?	Chrome	44.0.2403	Other	DESKTOP	?	?	?	1	3	0	?	4	3	2	?	4	?	?	0	5	?	3	?	1	5	4	?	?	?	?	4	1	0	1	2	?	0	?	?	1	0	4	?	0	?	?	3	0	2	3	2	?	1	0	1	?	?	?	1	?	?	4	?	?	0	0	?	4	?	?	?	?	?	?	ip_101610	isp_100011	country_102	region_1056	time_zone_102	conn_type_10	1438262886400	url_1006012	user_101557

dev_103599	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_105024	isp_100005	country_100	region_1008	time_zone_100	conn_type_10	1440621002752	url_1000005	user_102833

dev_103581	Windows Vista	?	Firefox	38	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100013	isp_100008	country_100	region_1001	time_zone_100	conn_type_10	1431785701376	url_1000041	user_102821

dev_102133	Windows 7	?	Chrome	42.0.2311	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100958	isp_100002	country_100	?	time_zone_100	conn_type_10	1436113698816	url_1000000	user_101618

dev_101711	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104911	isp_100057	country_114	?	time_zone_116	conn_type_10	1440567787520	url_1000005	user_101289

dev_103564	Windows XP	?	Firefox	38	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100924	isp_100151	country_133	region_1066	time_zone_139	conn_type_10	1435919319040	url_1003057	user_102805

dev_102426	Windows 7	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_103136	isp_100011	country_102	region_1056	time_zone_102	conn_type_10	1439399149568	url_1004459	user_101860

dev_100379	Ubuntu	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_102717	isp_100011	country_102	region_1018	time_zone_102	conn_type_10	1439145000960	url_1014301	user_100264

dev_102966	Windows 7	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104077	isp_100035	country_102	region_1018	time_zone_102	conn_type_10	1440000114688	url_1022248	user_102296

dev_100824	Windows 7	?	Firefox	38.0.5	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101134	isp_100005	country_100	region_1013	time_zone_100	conn_type_10	1436949282816	url_1000000	user_100637

dev_102242	Windows 8.1	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_102290	isp_100177	country_102	region_1076	time_zone_102	conn_type_10	1439281840128	url_1004459	user_101711

dev_100555	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_103364	isp_100005	country_100	region_1001	time_zone_100	conn_type_10	1439554338816	url_1000005	user_100425

dev_100400	Windows 8.1	?	Firefox	39	Other	DESKTOP	?	?	?	0	4	1	?	1	?	?	?	?	?	?	0	2	?	?	?	1	3	?	?	4	?	?	2	2	0	1	2	4	0	2	?	1	1	?	4	1	4	?	6	0	?	?	?	?	1	0	2	?	3	?	4	1	?	2	4	?	0	1	4	4	?	?	?	?	4	?	ip_101438	isp_100011	country_102	region_1005	time_zone_102	conn_type_10	1438148591616	url_1005071	user_100283

dev_102106	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_103583	isp_100069	?	?	?	conn_type_10	1439728402432	url_1000005	user_101601

dev_102342	Windows 7	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104886	isp_100011	country_102	region_1025	time_zone_102	conn_type_10	1440532791296	url_1004464	user_101779

dev_102804	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100056	isp_100005	country_100	?	time_zone_100	conn_type_10	1431946657792	url_1000005	user_102161

dev_100835	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100256	isp_100001	country_104	region_1033	time_zone_121	conn_type_10	1434251034624	url_1000005	user_100647

dev_101403	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100860	isp_100031	country_104	region_1058	time_zone_138	conn_type_11	1435622178816	url_1000005	user_101030

dev_103172	Windows Vista	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104427	isp_100248	country_132	?	time_zone_137	conn_type_12	1440239321088	url_1024338	user_102493

dev_101302	Windows 7	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104120	isp_100067	country_102	region_1084	time_zone_102	conn_type_10	1440017940480	url_1022592	user_100978

dev_101034	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101030	isp_100152	country_114	?	time_zone_116	conn_type_13	1436465233920	url_1000005	user_100762

dev_103865	Windows XP	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_105490	isp_100011	country_102	region_1089	time_zone_102	conn_type_10	1441002422272	url_1029829	user_103083

dev_100495	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100805	isp_100005	country_100	region_1001	time_zone_100	conn_type_10	1435351384064	url_1000005	user_100368

dev_101954	Windows 7	?	IE	11	Other	DESKTOP	?	?	?	0	2	0	2	?	?	?	?	2	2	?	0	2	?	?	4	0	3	4	?	4	?	?	4	2	0	1	4	4	1	?	2	1	1	4	?	1	4	?	4	0	?	?	?	?	2	0	2	?	2	?	4	2	?	2	4	?	0	0	4	?	?	?	2	?	?	?	ip_101842	isp_100011	country_102	?	time_zone_102	conn_type_12	1438498422784	url_1007988	user_101492

dev_103155	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101242	isp_100041	country_109	region_1065	time_zone_110	conn_type_11	1437394010112	url_1000005	user_102477

dev_103573	Android	?	Opera Mini	7.5	Other	TABLET	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101038	isp_100162	country_137	?	time_zone_143	conn_type_10	1436477685760	url_1000011	user_102815

dev_101913	Windows 7	?	Safari	?	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101700	isp_100235	country_100	region_1008	time_zone_100	conn_type_10	1439464554496	url_1000000	user_101454

dev_103453	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101018	isp_100159	country_135	?	time_zone_141	conn_type_10	1438719672320	url_1000005	user_102709

dev_100030	Windows 7	?	Chrome	43.0.2357	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100353	isp_100005	country_100	?	time_zone_100	conn_type_10	1433157238784	url_1000000	user_100028

dev_102472	Windows 7	?	Firefox	39	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100993	isp_100002	country_100	?	time_zone_100	conn_type_10	1436338356224	url_1000000	user_101902

dev_100954	Windows 8.1	?	Chrome	43.0.2357	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100099	isp_100034	country_108	?	time_zone_109	conn_type_10	1437335683072	url_1000016	user_100711

dev_102725	Windows XP	?	Firefox	39	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101200	isp_100005	country_100	?	time_zone_100	conn_type_10	1437169876992	url_1000000	user_102098

dev_103500	Windows	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104104	isp_100067	country_102	region_1084	time_zone_102	conn_type_10	1440011255808	url_1011806	user_102755

dev_103312	Windows 8	?	Firefox	40.0.2	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104930	isp_100011	country_102	region_1008	time_zone_102	conn_type_10	1440579846144	url_1004710	user_102589

dev_100789	Windows 7	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_102706	isp_100177	country_102	region_1025	time_zone_102	conn_type_10	1439136219136	url_1014169	user_100620

dev_101333	Linux	?	Firefox	39	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101532	isp_100070	country_119	?	time_zone_122	conn_type_13	1438200365056	url_1000000	user_100996

dev_102480	Windows 8	?	IE	10	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_105575	isp_100011	country_102	region_1082	time_zone_102	conn_type_10	1441041874944	url_1030258	user_101908

dev_101380	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100763	isp_100107	country_104	region_1035	time_zone_123	conn_type_10	1435216117760	url_1000005	user_101010

dev_102085	Windows	?	Firefox	39	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_103971	isp_100011	country_102	region_1018	time_zone_102	conn_type_10	1440378388480	url_1004459	user_101598

dev_103664	Windows 8.1	?	Firefox	39	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101400	isp_100177	country_102	?	time_zone_102	conn_type_10	1438107566080	url_1004532	user_102896

dev_102524	Windows 8.1	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104353	isp_100011	country_102	region_1018	time_zone_102	conn_type_10	1440173916160	url_1023996	user_101947

dev_103070	Windows 7	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101266	isp_100011	country_102	region_1080	time_zone_102	conn_type_10	1437574758400	url_1004103	user_102401

dev_102059	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100207	isp_100005	country_100	region_1002	time_zone_100	conn_type_10	1432566628352	url_1000005	user_101577

dev_103600	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_102272	isp_100069	?	?	?	conn_type_10	1438789140480	url_1000005	user_102834

dev_100695	Windows 7	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_105239	isp_100100	country_100	region_1016	time_zone_100	conn_type_12	1440760725504	url_1028582	user_100544

dev_102117	Mac OS X	10.7.5	Safari	6.1.6	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101110	isp_100129	country_102	?	time_zone_102	conn_type_10	1436816375808	url_1003627	user_101607

dev_100892	Windows XP	?	Firefox	40	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104309	isp_100177	country_102	region_1076	time_zone_102	conn_type_10	1440151896064	url_1005734	user_100696

dev_100178	Windows 8.1	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_103276	isp_100177	country_102	region_1076	time_zone_102	conn_type_10	1439486050304	url_1017848	user_100114

dev_100551	Windows 7	?	Firefox	15	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_100280	isp_100074	country_104	region_1035	time_zone_123	conn_type_10	1434167541760	url_1000005	user_100421

dev_103057	Windows 7	?	Chrome	44.0.2403	Other	DESKTOP	4	?	?	1	5	0	?	4	3	4	?	?	?	?	0	5	?	?	?	1	5	4	?	?	?	?	0	1	1	1	2	?	0	?	?	1	1	?	?	0	4	?	5	0	1	3	4	?	1	0	1	?	?	?	4	4	?	4	?	?	0	0	4	4	?	?	?	?	?	?	ip_101690	isp_100011	country_102	region_1089	time_zone_102	conn_type_10	1438330257408	url_1006575	user_102386

