device_id,urlList
dev_103901,"['url_1004687', 'url_1024850', 'url_1011963', 'url_1038386', 'url_1011963', 'url_1004687', 'url_1004464', 'url_1024850', 'url_1004710', 'url_1004710', 'url_1004710', 'url_1034740', 'url_1010076', 'url_1034740', 'url_1027562', 'url_1020162', 'url_1051105', 'url_1025625', 'url_1004641', 'url_1017362', 'url_1017363', 'url_1051788', 'url_1004558', 'url_1004705', 'url_1018008', 'url_1051788', 'url_1004705', 'url_1018008', 'url_1020838', 'url_1018008', 'url_1051810', 'url_1051811', 'url_1051812', 'url_1051813', 'url_1011376', 'url_1051813', 'url_1051814', 'url_1051815', 'url_1051816', 'url_1051817', 'url_1051818', 'url_1051819', 'url_1051820', 'url_1051821', 'url_1051822', 'url_1051823', 'url_1051824', 'url_1051825', 'url_1051826', 'url_1017642', 'url_1051826', 'url_1051833', 'url_1051835', 'url_1020837', 'url_1004464', 'url_1051838', 'url_1004538', 'url_1051847', 'url_1029327', 'url_1004464', 'url_1004464', 'url_1005897', 'url_1052025', 'url_1052205', 'url_1052206', 'url_1052207', 'url_1052208', 'url_1052209', 'url_1052210', 'url_1052214', 'url_1052214', 'url_1004464', 'url_1004562', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004602', 'url_1004602', 'url_1052215', 'url_1052215', 'url_1004688', 'url_1004688', 'url_1004572', 'url_1004459', 'url_1052460', 'url_1011504', 'url_1010076', 'url_1011504', 'url_1027562', 'url_1027562', 'url_1027562', 'url_1004464', 'url_1052477', 'url_1004678', 'url_1053080']"
dev_103902,"['url_1004558', 'url_1011543', 'url_1027562', 'url_1004464', 'url_1004562', 'url_1004503', 'url_1004537', 'url_1004534', 'url_1004534', 'url_1004602', 'url_1004602', 'url_1052481', 'url_1052481', 'url_1004688', 'url_1004688', 'url_1004560', 'url_1004560', 'url_1004542', 'url_1004542', 'url_1004608', 'url_1004608', 'url_1052483', 'url_1052483', 'url_1004688', 'url_1004688', 'url_1052481', 'url_1052481', 'url_1004534', 'url_1004534', 'url_1004503', 'url_1004503', 'url_1004464', 'url_1004464', 'url_1027562', 'url_1011543', 'url_1004558', 'url_1026895']"
dev_103903,"['url_1004710', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1008071', 'url_1008071', 'url_1004515', 'url_1004515', 'url_1004572', 'url_1004572', 'url_1004434', 'url_1004434', 'url_1004459']"
dev_103904,"['url_1004710', 'url_1004538', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004572', 'url_1004572', 'url_1004804', 'url_1004434']"
dev_103905,"['url_1000005', 'url_1000005', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000020', 'url_1000020', 'url_1000020', 'url_1000736', 'url_1000736', 'url_1000736']"
dev_103906,"['url_1000005', 'url_1000005', 'url_1000000', 'url_1000000', 'url_1000000']"
dev_103907,"['url_1040679', 'url_1040682', 'url_1004509', 'url_1004564', 'url_1004509', 'url_1004528', 'url_1006995', 'url_1040683', 'url_1004705', 'url_1011125', 'url_1004705', 'url_1040684', 'url_1004591', 'url_1006045', 'url_1004591', 'url_1004544', 'url_1004591', 'url_1009315', 'url_1004591', 'url_1040685', 'url_1040686', 'url_1004641', 'url_1015470', 'url_1004641', 'url_1012355', 'url_1012355', 'url_1005027', 'url_1005691', 'url_1005027', 'url_1005691', 'url_1005027', 'url_1004509', 'url_1004510', 'url_1007034', 'url_1004510', 'url_1004510', 'url_1004509', 'url_1004682', 'url_1040687', 'url_1004682', 'url_1040687', 'url_1004682', 'url_1004682', 'url_1004682', 'url_1004531', 'url_1004493', 'url_1004632', 'url_1004705', 'url_1005020', 'url_1004464', 'url_1004562', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004560', 'url_1004560', 'url_1004602', 'url_1004602', 'url_1040690', 'url_1040690', 'url_1040690', 'url_1040690', 'url_1004688', 'url_1004688', 'url_1004560', 'url_1004560', 'url_1004608', 'url_1004608']"
dev_103908,"['url_1040592', 'url_1040593', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1040594', 'url_1040594']"
dev_103909,"['url_1039531', 'url_1039532', 'url_1043347', 'url_1004464', 'url_1004503', 'url_1004538', 'url_1043357', 'url_1005092', 'url_1004464', 'url_1043359', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1043364', 'url_1043364']"
dev_103910,"['url_1045851', 'url_1004464', 'url_1045851', 'url_1045904', 'url_1045906', 'url_1004538', 'url_1045910', 'url_1045924', 'url_1004464', 'url_1004678', 'url_1004606', 'url_1004678', 'url_1004562', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004608', 'url_1004608', 'url_1045937', 'url_1045937', 'url_1004434', 'url_1004434', 'url_1045938', 'url_1046005', 'url_1048588', 'url_1049179', 'url_1054266', 'url_1054514', 'url_1054515', 'url_1054516']"
dev_103911,"['url_1035051', 'url_1035052', 'url_1004464', 'url_1035053', 'url_1007103', 'url_1004854', 'url_1004464', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1035054', 'url_1035054', 'url_1004464', 'url_1033821', 'url_1028857']"
dev_103912,"['url_1000005', 'url_1000005', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000239', 'url_1000239', 'url_1000239', 'url_1000296', 'url_1000296', 'url_1000296', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586']"
dev_103913,"['url_1008302', 'url_1020838', 'url_1008302', 'url_1020838', 'url_1004464', 'url_1004678', 'url_1004606', 'url_1004606', 'url_1004503', 'url_1005069', 'url_1004559', 'url_1004559', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1028108', 'url_1028108', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1048407', 'url_1048407', 'url_1048407', 'url_1048407', 'url_1004688', 'url_1004688', 'url_1004688', 'url_1004688', 'url_1004534', 'url_1004534', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1048409', 'url_1048409', 'url_1048409', 'url_1048409', 'url_1004572', 'url_1004572', 'url_1004464', 'url_1004464', 'url_1004563', 'url_1004563', 'url_1004464', 'url_1004464', 'url_1004464', 'url_1004464', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1048415', 'url_1048415', 'url_1048415', 'url_1048415', 'url_1004464', 'url_1004464', 'url_1004434', 'url_1004434', 'url_1004464', 'url_1004464', 'url_1004688', 'url_1004688', 'url_1004563', 'url_1004563']"
dev_103914,"['url_1036923', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1036941', 'url_1036941']"
dev_103915,"['url_1032489', 'url_1032490', 'url_1032492', 'url_1035857', 'url_1004464', 'url_1004503', 'url_1004464', 'url_1004503', 'url_1005069', 'url_1004559', 'url_1004559', 'url_1004560', 'url_1004560', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1035861', 'url_1035861', 'url_1049842', 'url_1049843', 'url_1049844', 'url_1049845', 'url_1049846', 'url_1049846', 'url_1049844', 'url_1049849', 'url_1049846', 'url_1049853']"
dev_103916,"['url_1033215', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1004542', 'url_1004542', 'url_1016539', 'url_1016539', 'url_1033218', 'url_1033218']"
dev_103917,"['url_1037307', 'url_1004538', 'url_1004538', 'url_1037309', 'url_1037313', 'url_1037314', 'url_1004464', 'url_1004562', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1037315', 'url_1037315', 'url_1004730', 'url_1004564']"
dev_103918,"['url_1055205', 'url_1028010', 'url_1004682', 'url_1055211', 'url_1005033', 'url_1005076', 'url_1005033', 'url_1055216', 'url_1039226', 'url_1004510', 'url_1018454', 'url_1005004', 'url_1004997', 'url_1055228', 'url_1004613', 'url_1028010', 'url_1018858', 'url_1055235', 'url_1055245', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004602', 'url_1004602', 'url_1055255', 'url_1055255', 'url_1004434', 'url_1004434', 'url_1004459', 'url_1005406', 'url_1005406', 'url_1004459', 'url_1028010', 'url_1004459', 'url_1004459']"
dev_103919,"['url_1043700', 'url_1004464', 'url_1005249', 'url_1043703', 'url_1043704', 'url_1043700', 'url_1043706', 'url_1043707', 'url_1043708', 'url_1043709', 'url_1043710', 'url_1043711', 'url_1043712', 'url_1043713', 'url_1043715', 'url_1043716', 'url_1043717', 'url_1043718', 'url_1043719', 'url_1043720', 'url_1043721', 'url_1043722', 'url_1043723', 'url_1043724', 'url_1043725', 'url_1043727', 'url_1043723', 'url_1043729', 'url_1043730', 'url_1043700', 'url_1043725', 'url_1043745', 'url_1043747', 'url_1043700', 'url_1004464', 'url_1043762', 'url_1043763', 'url_1043709', 'url_1043710', 'url_1004464', 'url_1004532', 'url_1004464', 'url_1004509', 'url_1004464', 'url_1004532', 'url_1004464', 'url_1043771', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1004791', 'url_1004791', 'url_1004792', 'url_1004792', 'url_1004722', 'url_1004722', 'url_1004723', 'url_1004723', 'url_1043774', 'url_1043774']"
dev_103920,"['url_1004464', 'url_1004606', 'url_1004503', 'url_1004557', 'url_1004538', 'url_1045992', 'url_1004557', 'url_1004503', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004608', 'url_1004608', 'url_1045995', 'url_1045995', 'url_1004434', 'url_1004434', 'url_1004459', 'url_1045998']"
dev_103921,"['url_1008796', 'url_1005395', 'url_1028642', 'url_1004641', 'url_1004541', 'url_1004499', 'url_1004617', 'url_1008796', 'url_1008796', 'url_1004538', 'url_1050769', 'url_1004464', 'url_1004562', 'url_1004503', 'url_1005069', 'url_1004559', 'url_1004559', 'url_1004702', 'url_1004702', 'url_1004703', 'url_1004703', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004459', 'url_1004459', 'url_1004542', 'url_1004542', 'url_1004608', 'url_1004608', 'url_1050770', 'url_1050770', 'url_1004730', 'url_1004564']"
dev_103922,"['url_1053804', 'url_1053805', 'url_1053804', 'url_1053806', 'url_1053804', 'url_1053807', 'url_1004649', 'url_1053877', 'url_1005007', 'url_1023520', 'url_1053883', 'url_1053877', 'url_1005401', 'url_1053877', 'url_1004464', 'url_1053885', 'url_1004705', 'url_1004705', 'url_1016881', 'url_1010564', 'url_1053899', 'url_1010564', 'url_1016881', 'url_1004705', 'url_1053885', 'url_1053877', 'url_1005401', 'url_1004464', 'url_1004678', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004602', 'url_1004602', 'url_1053929', 'url_1053929']"
dev_103923,"['url_1000048', 'url_1000010', 'url_1000010', 'url_1000011', 'url_1000011', 'url_1000012', 'url_1000012', 'url_1000015', 'url_1000015', 'url_1000015', 'url_1000015', 'url_1000012', 'url_1000012', 'url_1000011', 'url_1000011', 'url_1000016', 'url_1000011', 'url_1000011', 'url_1000012', 'url_1000012']"
dev_103924,"['url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515']"
dev_103925,"['url_1051005', 'url_1004464', 'url_1004678', 'url_1004678', 'url_1004464', 'url_1051005', 'url_1005092', 'url_1004538', 'url_1004538', 'url_1004464', 'url_1004503', 'url_1004464', 'url_1004503', 'url_1004464', 'url_1004503', 'url_1005069', 'url_1004559', 'url_1004559', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004602', 'url_1004602', 'url_1051053', 'url_1051053', 'url_1005090', 'url_1005090', 'url_1004617', 'url_1004617', 'url_1009018', 'url_1009018', 'url_1004590', 'url_1004590', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1005342', 'url_1005342', 'url_1004515', 'url_1004515', 'url_1004500', 'url_1004500', 'url_1016622', 'url_1016622', 'url_1004500', 'url_1004500', 'url_1023097', 'url_1023097', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004572', 'url_1004572', 'url_1004572', 'url_1004572', 'url_1004459', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004459', 'url_1039282', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004459', 'url_1004459', 'url_1054621']"
dev_103926,"['url_1000050', 'url_1000831', 'url_1031722', 'url_1031722', 'url_1000024', 'url_1000024', 'url_1031722', 'url_1032689']"
dev_103927,"['url_1000005', 'url_1000005', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000022', 'url_1000022', 'url_1000022', 'url_1000637', 'url_1000637', 'url_1000637']"
dev_103928,"['url_1055128', 'url_1055129', 'url_1055130', 'url_1055131', 'url_1004464', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1055135', 'url_1055135', 'url_1004534', 'url_1004459', 'url_1004459', 'url_1004459', 'url_1004459', 'url_1004997', 'url_1004997', 'url_1020597', 'url_1015846', 'url_1015846', 'url_1020597', 'url_1004997', 'url_1019083', 'url_1019083', 'url_1004997', 'url_1004997', 'url_1055140', 'url_1055140', 'url_1004459']"
dev_103929,"['url_1004459', 'url_1004500', 'url_1033170', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004560', 'url_1004560', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1004633', 'url_1004633', 'url_1004688', 'url_1004688', 'url_1004560', 'url_1004560', 'url_1004504', 'url_1004504', 'url_1004504', 'url_1004504', 'url_1004688', 'url_1004688', 'url_1004633', 'url_1004633', 'url_1004560', 'url_1004560', 'url_1004557', 'url_1004557', 'url_1004503', 'url_1004503', 'url_1004464', 'url_1004464', 'url_1033170']"
dev_103930,"['url_1051940', 'url_1004464', 'url_1004503', 'url_1005069', 'url_1004503', 'url_1004464', 'url_1004503', 'url_1005069', 'url_1004503', 'url_1004464', 'url_1004503', 'url_1005069', 'url_1004559', 'url_1004559', 'url_1004704', 'url_1004704', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004602', 'url_1004602', 'url_1051967', 'url_1051967', 'url_1026516', 'url_1026516', 'url_1051971', 'url_1051971', 'url_1004434', 'url_1004434', 'url_1004459']"
dev_103931,"['url_1042047', 'url_1005649', 'url_1008856', 'url_1006029', 'url_1042047', 'url_1005649', 'url_1008856', 'url_1005655', 'url_1005656', 'url_1005655', 'url_1005656', 'url_1005659', 'url_1005659', 'url_1009216', 'url_1009216', 'url_1042073', 'url_1042073', 'url_1004734', 'url_1004734', 'url_1013535', 'url_1013535', 'url_1013536', 'url_1013536', 'url_1004735', 'url_1004735', 'url_1005654', 'url_1005654', 'url_1005655', 'url_1005655', 'url_1004734', 'url_1004734', 'url_1004735', 'url_1004735', 'url_1005654', 'url_1005654', 'url_1005655', 'url_1005655', 'url_1009740', 'url_1009740', 'url_1013222', 'url_1013222', 'url_1042089', 'url_1042089', 'url_1042221', 'url_1006461', 'url_1005654', 'url_1005654', 'url_1004733', 'url_1004734', 'url_1004734', 'url_1004735', 'url_1004735', 'url_1029079', 'url_1029079', 'url_1004735', 'url_1004735', 'url_1004734', 'url_1004734', 'url_1042223', 'url_1042223', 'url_1042224', 'url_1042224', 'url_1042223', 'url_1042223', 'url_1042224', 'url_1042224', 'url_1042225', 'url_1042225', 'url_1042226', 'url_1042226', 'url_1042228', 'url_1042228', 'url_1042226', 'url_1042226', 'url_1042229', 'url_1042229', 'url_1042226', 'url_1042226', 'url_1042230', 'url_1042230', 'url_1042226', 'url_1042226', 'url_1042231', 'url_1042231', 'url_1042226', 'url_1042226', 'url_1042232', 'url_1042232', 'url_1042226', 'url_1042226', 'url_1042229', 'url_1042229', 'url_1042226', 'url_1042226', 'url_1042232', 'url_1042232', 'url_1042226', 'url_1042226', 'url_1042226', 'url_1012379', 'url_1012379', 'url_1012379']"
dev_103932,"['url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004515']"
dev_103933,"['url_1004459', 'url_1034935', 'url_1034936', 'url_1034937', 'url_1034938', 'url_1034939', 'url_1034940', 'url_1004464', 'url_1004503', 'url_1004534', 'url_1004534', 'url_1004504', 'url_1004504', 'url_1004504', 'url_1004504', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1034943', 'url_1034943', 'url_1034944', 'url_1034944', 'url_1034945', 'url_1034945', 'url_1034946', 'url_1034946', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1035179', 'url_1035179', 'url_1005343', 'url_1008560', 'url_1017799', 'url_1035185', 'url_1035186', 'url_1035187', 'url_1035189', 'url_1035190', 'url_1035208', 'url_1036353', 'url_1004434', 'url_1004434', 'url_1036354', 'url_1036354', 'url_1036355', 'url_1036355', 'url_1036356', 'url_1036356', 'url_1036357', 'url_1036357', 'url_1036358', 'url_1036358', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004515', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1005343', 'url_1005343', 'url_1012513', 'url_1054672', 'url_1004705', 'url_1022063', 'url_1022413', 'url_1054678', 'url_1054681', 'url_1054682', 'url_1008701', 'url_1004705', 'url_1004651', 'url_1017718', 'url_1004651', 'url_1054805', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1010506', 'url_1010506', 'url_1017254', 'url_1054849', 'url_1054849', 'url_1019039', 'url_1019039', 'url_1054865', 'url_1054865', 'url_1019962', 'url_1019962', 'url_1054865', 'url_1054865', 'url_1034936', 'url_1034936', 'url_1005197', 'url_1005197', 'url_1055053', 'url_1055054', 'url_1055056', 'url_1055057', 'url_1050407', 'url_1055067', 'url_1055068', 'url_1055069', 'url_1055070', 'url_1015111', 'url_1055072', 'url_1004515', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1055081', 'url_1055081', 'url_1055083', 'url_1055083', 'url_1055084', 'url_1055084', 'url_1029985', 'url_1029985', 'url_1055096', 'url_1055096', 'url_1021779', 'url_1021779', 'url_1005665', 'url_1005665', 'url_1055177']"
dev_103934,"['url_1004651', 'url_1012513', 'url_1033540', 'url_1033541', 'url_1033542', 'url_1033546', 'url_1033548', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1035004', 'url_1035004', 'url_1035005', 'url_1035005', 'url_1035006', 'url_1035006', 'url_1035007', 'url_1035007', 'url_1035008', 'url_1035008', 'url_1035009', 'url_1035009', 'url_1035010', 'url_1035010', 'url_1035011', 'url_1035011', 'url_1035012', 'url_1035012', 'url_1035013', 'url_1035013', 'url_1004459', 'url_1035076', 'url_1035077', 'url_1004464', 'url_1004503', 'url_1004534', 'url_1004534', 'url_1004504', 'url_1004504', 'url_1022731', 'url_1022731', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515']"
dev_103935,"['url_1020180', 'url_1004464', 'url_1005024', 'url_1004464', 'url_1039211', 'url_1005024', 'url_1005024', 'url_1025074', 'url_1004852', 'url_1004852', 'url_1007501', 'url_1007501', 'url_1007103', 'url_1007103', 'url_1039212', 'url_1007103', 'url_1020060', 'url_1007103', 'url_1037399', 'url_1007103', 'url_1037399', 'url_1004464', 'url_1004562', 'url_1004532', 'url_1004538', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1007131', 'url_1007131', 'url_1007135', 'url_1007135', 'url_1004464', 'url_1004464', 'url_1004459', 'url_1004459', 'url_1005024', 'url_1005024', 'url_1005024', 'url_1005024', 'url_1025074', 'url_1007103', 'url_1007103', 'url_1007103', 'url_1007103', 'url_1037399', 'url_1004464', 'url_1004464', 'url_1004562', 'url_1004562', 'url_1004503', 'url_1004503', 'url_1004504', 'url_1004504', 'url_1004504', 'url_1004504']"
dev_103936,"['url_1044173', 'url_1017314', 'url_1044173', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004542', 'url_1004542', 'url_1004542', 'url_1004542', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004602', 'url_1004602']"
dev_103937,"['url_1044268', 'url_1044269', 'url_1029794', 'url_1044269', 'url_1024929', 'url_1044269', 'url_1044270', 'url_1044271', 'url_1044273', 'url_1044271', 'url_1044278', 'url_1044279', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004557', 'url_1004503', 'url_1004534', 'url_1004534', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602']"
dev_103938,"['url_1045898', 'url_1045898', 'url_1004532', 'url_1045898', 'url_1004464', 'url_1004678', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1004534', 'url_1004534', 'url_1004534', 'url_1004534', 'url_1045908', 'url_1045908']"
dev_103939,"['url_1052611', 'url_1052612', 'url_1052612', 'url_1052713', 'url_1004617', 'url_1004509', 'url_1004590', 'url_1004477', 'url_1005090', 'url_1004496', 'url_1011979', 'url_1011979', 'url_1004591', 'url_1004997', 'url_1026756', 'url_1017297', 'url_1052720']"
